Class : 0 - # of People : 16, # of Videos : 118, # of Clips : 2609
Class : 1 - # of People : 12, # of Videos : 127, # of Clips : 2766

Epoch: [0][560/671], lr: 0.01000	Time 0.140 (0.241)	Data 0.000 (0.008)	Loss 0.4909 (0.7980)	Prec@1 75.000 (51.515)	Prec@5 0.000 (0.000)
Epoch: [0][580/671], lr: 0.01000	Time 0.192 (0.250)	Data 0.000 (0.008)	Loss 0.8795 (0.7948)	Prec@1 25.000 (51.485)	Prec@5 0.000 (0.000)
Epoch: [0][600/671], lr: 0.01000	Time 0.234 (0.248)	Data 0.000 (0.008)	Loss 0.4536 (0.7910)	Prec@1 100.000 (51.685)	Prec@5 0.000 (0.000)
Epoch: [0][620/671], lr: 0.01000	Time 0.148 (0.249)	Data 0.000 (0.007)	Loss 0.5414 (0.7873)	Prec@1 75.000 (52.053)	Prec@5 0.000 (0.000)
Epoch: [0][640/671], lr: 0.01000	Time 0.203 (0.247)	Data 0.000 (0.008)	Loss 0.7245 (0.7869)	Prec@1 37.500 (52.048)	Prec@5 0.000 (0.000)
Epoch: [0][660/671], lr: 0.01000	Time 0.308 (0.245)	Data 0.000 (0.008)	Loss 0.5445 (0.7856)	Prec@1 75.000 (51.986)	Prec@5 0.000 (0.000)
Test: [0/196]	Time 3.648 (3.648)	Loss 0.2550 (0.2550)	Prec@1 100.000 (100.000)	Prec@5 0.000 (0.000)
Test: [20/196]	Time 0.737 (0.396)	Loss 0.2690 (0.2605)	Prec@1 100.000 (100.000)	Prec@5 0.000 (0.000)
Test: [40/196]	Time 0.259 (0.410)	Loss 1.5117 (0.4803)	Prec@1 0.000 (82.622)	Prec@5 0.000 (0.000)
Test: [60/196]	Time 0.288 (0.372)	Loss 1.2715 (0.7751)	Prec@1 0.000 (55.533)	Prec@5 0.000 (0.000)
Test: [80/196]	Time 0.091 (0.304)	Loss 0.3043 (0.7355)	Prec@1 100.000 (58.025)	Prec@5 0.000 (0.000)
Test: [100/196]	Time 0.273 (0.305)	Loss 0.2991 (0.6480)	Prec@1 100.000 (66.337)	Prec@5 0.000 (0.000)
Test: [120/196]	Time 0.035 (0.270)	Loss 0.2708 (0.5867)	Prec@1 100.000 (71.901)	Prec@5 0.000 (0.000)
Test: [140/196]	Time 0.076 (0.238)	Loss 1.4436 (0.5949)	Prec@1 0.000 (71.277)	Prec@5 0.000 (0.000)
Test: [160/196]	Time 0.079 (0.228)	Loss 1.3194 (0.6924)	Prec@1 0.000 (62.422)	Prec@5 0.000 (0.000)
Test: [180/196]	Time 0.048 (0.212)	Loss 1.4229 (0.7642)	Prec@1 0.000 (55.525)	Prec@5 0.000 (0.000)

Participant : c0000, # of Pred : 12
Class : 1, Pred_0 : 00, Pred_1 : 12, Pred_2 : 00, Pred_3 : 00

Participant : c0002, # of Pred : 12
Class : 0, Pred_0 : 00, Pred_1 : 12, Pred_2 : 00, Pred_3 : 00

Participant : c0007, # of Pred : 08
Class : 1, Pred_0 : 00, Pred_1 : 08, Pred_2 : 00, Pred_3 : 00

Participant : c0011, # of Pred : 16
Class : 1, Pred_0 : 00, Pred_1 : 16, Pred_2 : 00, Pred_3 : 00

Participant : c0033, # of Pred : 12
Class : 0, Pred_0 : 00, Pred_1 : 12, Pred_2 : 00, Pred_3 : 00

Participant : c0056, # of Pred : 05
Class : 0, Pred_0 : 00, Pred_1 : 05, Pred_2 : 00, Pred_3 : 00

Participant : c0057, # of Pred : 05
Class : 0, Pred_0 : 00, Pred_1 : 05, Pred_2 : 00, Pred_3 : 00

Testing Results: Prec@1 51.308 Prec@5 0.000 Loss 0.81078
Best Prec@1: 51.308

Epoch: [1][0/671], lr: 0.01000	Time 6.686 (6.686)	Data 5.212 (5.212)	Loss 0.6744 (0.6744)	Prec@1 75.000 (75.000)	Prec@5 0.000 (0.000)
Epoch: [1][20/671], lr: 0.01000	Time 0.180 (0.725)	Data 0.000 (0.250)	Loss 0.6166 (0.7147)	Prec@1 75.000 (52.381)	Prec@5 0.000 (0.000)
Epoch: [1][40/671], lr: 0.01000	Time 0.110 (0.459)	Data 0.000 (0.128)	Loss 0.6376 (0.6929)	Prec@1 62.500 (57.317)	Prec@5 0.000 (0.000)
