Class : 0 - # of People : 16, # of Videos : 118, # of Clips : 2609
Class : 1 - # of People : 12, # of Videos : 127, # of Clips : 2766

Epoch: [0][0/671], lr: 0.01000	Time 44.435 (44.435)	Data 16.159 (16.159)	Loss 0.6996 (0.6996)	Prec@1 25.000 (25.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/671], lr: 0.01000	Time 1.183 (3.294)	Data 0.000 (0.770)	Loss 1.0053 (2.5793)	Prec@1 37.500 (50.595)	Prec@5 0.000 (0.000)
Epoch: [0][40/671], lr: 0.01000	Time 1.418 (2.309)	Data 0.006 (0.395)	Loss 0.8968 (1.8758)	Prec@1 25.000 (50.305)	Prec@5 0.000 (0.000)
Epoch: [0][60/671], lr: 0.01000	Time 1.193 (1.900)	Data 0.000 (0.265)	Loss 0.7077 (1.5711)	Prec@1 37.500 (49.385)	Prec@5 0.000 (0.000)
Epoch: [0][80/671], lr: 0.01000	Time 1.962 (1.789)	Data 0.003 (0.200)	Loss 1.1082 (1.4541)	Prec@1 12.500 (48.302)	Prec@5 0.000 (0.000)
Epoch: [0][100/671], lr: 0.01000	Time 0.699 (1.724)	Data 0.000 (0.161)	Loss 1.1068 (1.3568)	Prec@1 50.000 (48.020)	Prec@5 0.000 (0.000)
Epoch: [0][120/671], lr: 0.01000	Time 0.597 (1.567)	Data 0.000 (0.134)	Loss 0.7976 (1.2708)	Prec@1 37.500 (47.727)	Prec@5 0.000 (0.000)
Epoch: [0][140/671], lr: 0.01000	Time 1.454 (1.484)	Data 0.000 (0.115)	Loss 0.7340 (1.1984)	Prec@1 37.500 (48.670)	Prec@5 0.000 (0.000)
Epoch: [0][160/671], lr: 0.01000	Time 0.585 (1.384)	Data 0.000 (0.101)	Loss 0.6502 (1.1401)	Prec@1 75.000 (48.292)	Prec@5 0.000 (0.000)
Epoch: [0][180/671], lr: 0.01000	Time 0.930 (1.358)	Data 0.001 (0.090)	Loss 0.6929 (1.0903)	Prec@1 50.000 (49.586)	Prec@5 0.000 (0.000)
Epoch: [0][200/671], lr: 0.01000	Time 1.237 (1.363)	Data 0.001 (0.081)	Loss 0.9628 (1.0544)	Prec@1 12.500 (49.067)	Prec@5 0.000 (0.000)
Epoch: [0][220/671], lr: 0.01000	Time 1.198 (1.325)	Data 0.000 (0.074)	Loss 0.6644 (1.0258)	Prec@1 62.500 (48.982)	Prec@5 0.000 (0.000)
